"id","trial","trial_index","abstract","treatment","treatment_string","general_topic","abstract_title","abstract_text","stimulus","decision1_resp","decision1_rt","for_resp","for_resp_factor","for_rt","decision2_resp","decision2_rt","rethink_resp","rethink_rt","read1_rt","read2_rt","study_duration_minutes"
54,14,86,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",78,9996,5,6,4873,80,4793,1,2330,4138,14947,18.55555
3,2,12,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",47,8177,4,5,4217,60,3276,1,2304,37179,12287,19.1565666666667
23,1,5,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",29,7260,4,5,11998,29,5093,1,24715,43364,1860,20.5513333333333
10,16,110,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",78,2339,5,6,3263,78,1931,1,851,10764,1007,16.1347333333333
30,5,30,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",70,6087,4,5,3080,70,3423,0,2599,31044,NA,25.6369333333333
68,2,11,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",80,9027,4,5,4227,80,6326,0,1446,12155,NA,45.1274166666667
18,3,18,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",44,4519,3,4,7479,45,3823,0,6143,29782,NA,24.1999833333333
75,6,36,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",58,4079,3,4,2006,58,2434,1,1266,12706,1193,9.37248333333333
25,12,72,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",79,4311,4,5,2936,79,5092,0,1434,58979,NA,44.7174833333333
44,7,44,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",27,8537,4,5,3581,31,2741,0,1300,21382,NA,20.3593666666667
32,7,43,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",70,2167,4,5,2015,70,1710,0,1438,21146,NA,24.216
51,14,85,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",0,1811,4,5,2991,0,1597,0,826,27955,NA,39.1102833333333
70,11,65,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",57,15534,4,5,5467,66,4388,0,1433,42643,NA,18.6958666666667
39,10,64,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",39,3849,4,5,4077,29,2788,1,2404,21647,25788,23.8372666666667
7,14,84,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",20,2928,4,5,2830,20,2260,0,1248,21852,NA,17.3102166666667
46,4,23,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",15,2984,2,3,3284,24,2344,0,4107,1233,NA,4.87618333333333
65,1,5,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",39,14568,4,5,7434,40,6372,1,10659,38834,32316,15.97915
53,10,61,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",62,3623,2,3,5524,50,12114,0,1318,35557,NA,19.9870833333333
2,1,5,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",59,16954,2,3,9145,69,14044,1,10519,10480,20375,15.3299166666667
22,14,84,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",50,1846,4,5,2990,50,2939,0,905,23584,NA,40.56655
9,1,5,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",29,12759,4,5,16135,29,3694,0,39926,42272,NA,36.6534166666667
29,10,68,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",50,4181,2,3,2401,60,4531,1,1611,25208,19247,31.0823
67,17,117,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",60,3948,4,5,1620,61,1172,1,1090,22075,817,57.4463666666667
17,4,24,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",29,14458,4,5,6785,29,11152,0,3686,43458,NA,23.4265333333333
74,12,75,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",59,6055,2,3,5071,59,2631,1,2446,63990,14996,27.755
24,3,17,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",54,12303,5,6,8119,55,3711,0,1582,27428,NA,23.4921166666667
43,2,12,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",89,22723,5,6,2895,89,7971,1,1445,24893,9856,52.3669666666667
31,14,94,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",70,5535,5,6,2689,70,1945,1,1264,26080,7541,28.1291666666667
50,1,5,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",49,9325,2,3,6884,80,7030,1,10527,9456,15787,25.6168833333333
69,15,95,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",29,5916,4,5,3723,30,2701,0,2028,92589,NA,44.1231666666667
38,9,57,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",66,5384,3,4,3663,57,10207,0,1559,15406,NA,18.5516666666667
6,17,114,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",60,2959,2,3,2727,60,2085,1,1261,46999,11156,24.1809666666667
57,4,26,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",39,3708,5,6,3510,30,3327,1,2457,22553,1349,52.7400666666667
64,1,5,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",79,18033,4,5,13738,81,9448,1,51533,44407,28968,30.2517166666667
14,3,18,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",60,9305,3,4,5091,60,3948,0,3885,27080,NA,18.5198833333333
71,10,60,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",65,4272,4,5,2414,66,3316,0,1354,29905,NA,41.2572666666667
21,14,84,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",21,1900,4,5,2180,18,1507,0,962,13980,NA,13.24535
63,8,53,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",59,1744,4,5,1844,50,2013,1,709,15204,13384,17.3092666666667
28,13,77,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",80,3547,5,6,2467,79,2100,0,1111,15886,NA,24.19875
4,12,82,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",55,1806,5,6,1705,57,2811,1,4985,16212,3706,24.5788666666667
